Unnamed: 0,TotalT,Temp,LSR,CA,Size,IsoT,HeatT,Ramp,F_X,Ro,logRo,P,logP,H,logH,Source,Acetyl,acetic,fenton,formic,malic,none,oxalic,phosphoric,sulfuric,acacia,aspen,basswood,beech,birch,carob,eucalyptus,maple,meranti,mixed,oak,olive,paulownia,poplar,vine,willow,Yield
194,90,413.15,4,0,4,60,30,2,19.48,903.4393401,6.806208969,50.24988963,3.91700835,66.01983466,4.189955222,AnApplicationStudyOfAutohydrolysisPretreatmentPriorToPoplar.xlsx,4.041182796,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.348422625
491,80,433.15,4,0,4,40,40,2,19.48,2337.123233,7.756676064,181.2324004,5.199780188,266.591034,5.585715776,AnApplicationStudyOfAutohydrolysisPretreatmentPriorToPoplar.xlsx,4.041182796,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,24.64065708
675,60,433.15,4,0,4,20,40,2,19.48,1168.561616,7.063528884,90.61620022,4.506633007,133.295517,4.892568596,AnApplicationStudyOfAutohydrolysisPretreatmentPriorToPoplar.xlsx,4.041182796,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8.25088669
882,50,393.15,4,0,4,30,20,2,19.48,116.4112971,4.757129585,3.91125796,1.363859051,4.537251672,1.51232147,AnApplicationStudyOfAutohydrolysisPretreatmentPriorToPoplar.xlsx,4.041182796,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.809688258
919,90,423.15,4,0,4,55,35,2,19.48,1631.350851,7.397163694,109.2964474,4.694063892,152.1459431,5.024840212,AnApplicationStudyOfAutohydrolysisPretreatmentPriorToPoplar.xlsx,4.041182796,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10.05226806
1016,100,433.15,4,0,4,60,40,2,19.48,3505.684849,8.162141172,271.8486007,5.605245296,399.8865509,5.991180884,AnApplicationStudyOfAutohydrolysisPretreatmentPriorToPoplar.xlsx,4.041182796,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,44.09650924
1091,135,423.15,4,0,4,100,35,2,19.48,2966.092457,7.995000694,198.7208135,5.291900893,276.6289875,5.622677213,AnApplicationStudyOfAutohydrolysisPretreatmentPriorToPoplar.xlsx,4.041182796,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,23.82396864
1225,55,423.15,4,0,4,20,35,2,19.48,593.2184914,6.385562782,39.74416271,3.68246298,55.3257975,4.013239301,AnApplicationStudyOfAutohydrolysisPretreatmentPriorToPoplar.xlsx,4.041182796,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.115083069
1666,35,393.15,4,0,4,15,20,2,19.48,58.20564857,4.063982404,1.95562898,0.670711871,2.268625836,0.81917429,AnApplicationStudyOfAutohydrolysisPretreatmentPriorToPoplar.xlsx,4.041182796,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.751353369
1707,60,413.15,4,0,4,30,30,2,19.48,451.7196701,6.113061788,25.12494481,3.22386117,33.00991733,3.496808042,AnApplicationStudyOfAutohydrolysisPretreatmentPriorToPoplar.xlsx,4.041182796,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.96938585
1919,80,393.15,4,0,4,60,20,2,19.48,232.8225943,5.450276766,7.82251592,2.057006232,9.074503343,2.205468651,AnApplicationStudyOfAutohydrolysisPretreatmentPriorToPoplar.xlsx,4.041182796,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.101362703
548,120,443.15,4,0.611751751,3,120,0,0,12.95,13811.46681,9.533254455,1194.360912,7.085366519,1851.908407,7.523971958,autohydrolysis_pretreatment_of_mixed_hardwoods_to_extract_value_prior_to_combustion.xlsx,3.439166667,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,57.52895753
690,60,453.15,4,0.611751751,3,60,0,0,12.95,13603.37735,9.518073376,1267.066787,7.144459892,2066.084544,7.63341057,autohydrolysis_pretreatment_of_mixed_hardwoods_to_extract_value_prior_to_combustion.xlsx,3.439166667,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,40.84942085
862,120,423.15,4,0.611751751,3,120,0,0,12.95,3559.310948,8.177322251,238.4649762,5.474222449,331.954785,5.80499877,autohydrolysis_pretreatment_of_mixed_hardwoods_to_extract_value_prior_to_combustion.xlsx,3.439166667,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,29.03474903
954,60,433.15,4,0.611751751,3,60,0,0,12.95,3505.684849,8.162141172,271.8486007,5.605245296,399.8865509,5.991180884,autohydrolysis_pretreatment_of_mixed_hardwoods_to_extract_value_prior_to_combustion.xlsx,3.439166667,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,58.37837838
1007,60,423.15,4,0.611751751,3,60,0,0,12.95,1779.655474,7.484175071,119.2324881,4.781075269,165.9773925,5.111851589,autohydrolysis_pretreatment_of_mixed_hardwoods_to_extract_value_prior_to_combustion.xlsx,3.439166667,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14.67181467
1306,120,433.15,4,0.611751751,3,120,0,0,12.95,7011.369698,8.855288353,543.6972013,6.298392477,799.7731019,6.684328065,autohydrolysis_pretreatment_of_mixed_hardwoods_to_extract_value_prior_to_combustion.xlsx,3.439166667,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,60.54054054
